agency_cd,location_id,datetime,parameter_cd,parameter_value
CDEC,VIN,1994-03-26T08:00:00Z,NA,5384
CDEC,VIN,1994-03-27T08:00:00Z,NA,5314
CDEC,VIN,1994-03-28T08:00:00Z,NA,5275
CDEC,VIN,1994-03-29T08:00:00Z,NA,5205
CDEC,VIN,1994-03-30T08:00:00Z,NA,5200
CDEC,VIN,1994-03-31T08:00:00Z,NA,5161
CDEC,VIN,1994-04-01T08:00:00Z,NA,5337
CDEC,VIN,1994-04-02T08:00:00Z,NA,5311
CDEC,VIN,1994-04-03T08:00:00Z,NA,5352
CDEC,VIN,1994-04-04T07:00:00Z,NA,5290
CDEC,VIN,1994-04-05T07:00:00Z,NA,5265
CDEC,VIN,1994-04-06T07:00:00Z,NA,NA
CDEC,VIN,1994-04-07T07:00:00Z,NA,5282
CDEC,VIN,1994-04-08T07:00:00Z,NA,5239
