STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
BTC,D,41,M FLOW,19980624 0000,19980624 0000,18664, ,CFS
BTC,D,41,M FLOW,19980625 0000,19980625 0000,18249, ,CFS
BTC,D,41,M FLOW,19980626 0000,19980626 0000,18015, ,CFS
BTC,D,41,M FLOW,19980627 0000,19980627 0000,17708, ,CFS
BTC,D,41,M FLOW,19980628 0000,19980628 0000,17218, ,CFS
BTC,D,41,M FLOW,19980629 0000,19980629 0000,---, ,CFS
BTC,D,41,M FLOW,19980630 0000,19980630 0000,---, ,CFS
BTC,D,41,M FLOW,19980701 0000,19980701 0000,---, ,CFS
BTC,D,41,M FLOW,19980702 0000,19980702 0000,---, ,CFS
BTC,D,41,M FLOW,19980703 0000,19980703 0000,16146, ,CFS
BTC,D,41,M FLOW,19980704 0000,19980704 0000,15868, ,CFS
BTC,D,41,M FLOW,19980705 0000,19980705 0000,15963, ,CFS
BTC,D,41,M FLOW,19980706 0000,19980706 0000,16053, ,CFS
BTC,D,41,M FLOW,19980707 0000,19980707 0000,16138, ,CFS
BTC,D,41,M FLOW,19980708 0000,19980708 0000,16119, ,CFS
BTC,D,41,M FLOW,19980709 0000,19980709 0000,15678, ,CFS
BTC,D,41,M FLOW,19980710 0000,19980710 0000,15641, ,CFS
BTC,D,41,M FLOW,19980711 0000,19980711 0000,15191, ,CFS
BTC,D,41,M FLOW,19980712 0000,19980712 0000,14848, ,CFS
BTC,D,41,M FLOW,19980713 0000,19980713 0000,14832, ,CFS
BTC,D,41,M FLOW,19980714 0000,19980714 0000,14594, ,CFS
BTC,D,41,M FLOW,19980715 0000,19980715 0000,14418, ,CFS
BTC,D,41,M FLOW,19980716 0000,19980716 0000,14277, ,CFS
BTC,D,41,M FLOW,19980717 0000,19980717 0000,14007, ,CFS
BTC,D,41,M FLOW,19980718 0000,19980718 0000,13996, ,CFS
BTC,D,41,M FLOW,19980719 0000,19980719 0000,13794, ,CFS
BTC,D,41,M FLOW,19980720 0000,19980720 0000,13844, ,CFS
BTC,D,41,M FLOW,19980721 0000,19980721 0000,13878, ,CFS
BTC,D,41,M FLOW,19980722 0000,19980722 0000,13914, ,CFS
BTC,D,41,M FLOW,19980723 0000,19980723 0000,13671, ,CFS
BTC,D,41,M FLOW,19980724 0000,19980724 0000,13710, ,CFS
BTC,D,41,M FLOW,19980725 0000,19980725 0000,13944, ,CFS
BTC,D,41,M FLOW,19980726 0000,19980726 0000,13617, ,CFS
BTC,D,41,M FLOW,19980727 0000,19980727 0000,13683, ,CFS
BTC,D,41,M FLOW,19980728 0000,19980728 0000,13522, ,CFS
BTC,D,41,M FLOW,19980729 0000,19980729 0000,13618, ,CFS
BTC,D,41,M FLOW,19980730 0000,19980730 0000,13677, ,CFS
BTC,D,41,M FLOW,19980731 0000,19980731 0000,13666, ,CFS
BTC,D,41,M FLOW,19980801 0000,19980801 0000,13650, ,CFS
BTC,D,41,M FLOW,19980802 0000,19980802 0000,13556, ,CFS
BTC,D,41,M FLOW,19980803 0000,19980803 0000,13452, ,CFS
BTC,D,41,M FLOW,19980804 0000,19980804 0000,13407, ,CFS
BTC,D,41,M FLOW,19980805 0000,19980805 0000,13335, ,CFS
BTC,D,41,M FLOW,19980806 0000,19980806 0000,13292, ,CFS
BTC,D,41,M FLOW,19980807 0000,19980807 0000,13059, ,CFS
BTC,D,41,M FLOW,19980808 0000,19980808 0000,13100, ,CFS
BTC,D,41,M FLOW,19980809 0000,19980809 0000,13104, ,CFS
BTC,D,41,M FLOW,19980810 0000,19980810 0000,13165, ,CFS
BTC,D,41,M FLOW,19980811 0000,19980811 0000,13183, ,CFS
BTC,D,41,M FLOW,19980812 0000,19980812 0000,13326, ,CFS
BTC,D,41,M FLOW,19980813 0000,19980813 0000,13087, ,CFS
BTC,D,41,M FLOW,19980814 0000,19980814 0000,12788, ,CFS
BTC,D,41,M FLOW,19980815 0000,19980815 0000,12886, ,CFS
BTC,D,41,M FLOW,19980816 0000,19980816 0000,12918, ,CFS
BTC,D,41,M FLOW,19980817 0000,19980817 0000,12987, ,CFS
BTC,D,41,M FLOW,19980818 0000,19980818 0000,13215, ,CFS
BTC,D,41,M FLOW,19980819 0000,19980819 0000,13146, ,CFS
BTC,D,41,M FLOW,19980820 0000,19980820 0000,12940, ,CFS
BTC,D,41,M FLOW,19980821 0000,19980821 0000,12919, ,CFS
BTC,D,41,M FLOW,19980822 0000,19980822 0000,12916, ,CFS
BTC,D,41,M FLOW,19980823 0000,19980823 0000,13056, ,CFS
BTC,D,41,M FLOW,19980824 0000,19980824 0000,13009, ,CFS
BTC,D,41,M FLOW,19980825 0000,19980825 0000,13249, ,CFS
BTC,D,41,M FLOW,19980826 0000,19980826 0000,12566, ,CFS
BTC,D,41,M FLOW,19980827 0000,19980827 0000,12406, ,CFS
BTC,D,41,M FLOW,19980828 0000,19980828 0000,12246, ,CFS
BTC,D,41,M FLOW,19980829 0000,19980829 0000,12172, ,CFS
BTC,D,41,M FLOW,19980830 0000,19980830 0000,12076, ,CFS
BTC,D,41,M FLOW,19980831 0000,19980831 0000,12141, ,CFS
BTC,D,41,M FLOW,19980901 0000,19980901 0000,12226, ,CFS
BTC,D,41,M FLOW,19980902 0000,19980902 0000,12153, ,CFS
